V101	countyfips	countyname
360035673.0	41051	"Multnomah OR"
361136475.0	41005	"Clackamas OR"
360996988.0	42045	"Delaware PA"
361014709.0	51133	"Northumberland VA"
361603704.0	17031	"Cook IL"
361398405.0	46103	"Pennington SD"
360968321.0	42013	"Blair PA"
361001565.0	48061	"Cameron TX"
361047521.0	23031	"York ME"
361038828.0	41051	"Multnomah OR"
361017614.0	06061	"Placer CA"
361052244.0	27037	"Dakota MN"
361041808.0	27123	"Ramsey MN"
361000292.0	25027	"Worcester MA"
360967346.0	12127	"Volusia FL"
360042041.0	31055	"Douglas NE"
360967685.0	32003	"Clark NV"
360976158.0	42101	"Philadelphia PA"
363100568.0	06085	"Santa Clara CA"
360892884.0	06067	"Sacramento CA"
361004736.0	06037	"Los Angeles CA"
361028565.0	21111	"Jefferson KY"
360968207.0	39049	"Franklin OH"
361376990.0	50023	"Washington VT"
361007100.0	36055	"Monroe NY"
360990025.0	48453	"Travis TX"
360985222.0	48029	"Bexar TX"
361036665.0	42017	"Bucks PA"
360911816.0	23005	"Cumberland ME"
360860735.0	55009	"Brown WI"
361727942.0	09003	"Hartford CT"
361087924.0	42129	"Westmoreland PA"
361006475.0	06037	"Los Angeles CA"
362854824.0	06073	"San Diego CA"
